Question,Content
How do I cook a red fruit smoothie?,"preparation time: 5 minutes cooking time: 3 minutes portions: 2 ingredients: a handful of strawberries, stemmed 1 banana, peeled and pulped 1 handful of raspberries and 1 of blueberries 150ml of milk a handful of chia seeds handful of flaked almonds procedure: blend the fruit in a bowl with an immersion blender, heat the fryer to 150 degrees and toast the chia seeds and almonds. pour the smoothie into glasses, add the chia and toasted almonds and serve with a straw and teaspoon. Enjoy your meal! nutrients: fat 3, fiber 12, carbohydrates 13, protein 7, calories 132"
How do you cook affogato ice cream?,"preparation time: 3 minutes cooking time: 3 minutes portions: 4 ingredients: 2 cups of coffee 2 tablespoons of cream 4 scoops of cream ice cream 150g of hazelnuts, chopped procedure: toast the hazelnuts at 180 degrees in the fryer for 3 minutes. in the meantime, blend the coffee and cream until you create a thick cream. pour a scoop of ice cream into each bowl, pour in the coffee cream, add the toasted hazelnuts on top and serve. Enjoy your meal! nutrients: fat 8, fiber 8, carbohydrates 14, proteins 5, calories 312"
What is the best way to cook a morning fantasy?,"preparation time: 2 minutes cooking time: 3 minutes portions: 2 ingredients: 200ml warm milk 70g blackberries 100g corn flakes ¼ teaspoon nutmeg, ground 60g flaked almonds 1 teaspoon honey procedure: toast the corn flakes and almonds at 180 degrees for 3 minutes. in the meantime, pour the milk into the bowls and add the blueberries. add the almonds and corn flakes, pour in the nutmeg, mix, drizzle in the honey and serve. Enjoy your meal! nutrients: fat 4, fiber 10, carbohydrates 18, protein 4, calories 220"
How do you approach cook breakfast mix?,"preparation time: 3 minutes cooking time: 3 minutes portions: 4 ingredients: 300g of dried fruit (almonds, walnuts, hazelnuts) 150g of raisins 100g of caramelized pineapple, cut into pieces 70g of dehydrated blueberries 200ml of milk procedure: toast the dried fruit for 3 minutes at 180 degrees in the fryer, adding the raisins after 2 minutes. in the meantime, pour the milk into the bowls, add the pineapple and blueberries. add the dried fruit and serve. Enjoy your meal! nutrients: fat 4, fiber 8, carbohydrates 20, proteins 12, calories 340"
What is the best way to cook applesauce?,"preparation time: 4 minutes cooking time: 3 minutes portions: 3 ingredients: 2 apples, peeled and pureed with the blender juice of ½ lemon 1 teaspoon of honey 50ml of milk a handful of pumpkin seeds procedure: toast the seeds pumpkin at 180 degrees in the fryer for 3 minutes. in the meantime, blend the apple pulp with the milk, lemon and honey. pour the puree into glasses, add the pumpkin seeds and serve. Enjoy your meal! nutrients: fat 2, fiber 7, carbohydrates 12, protein 5, calories 142"
How do I cook a savory breakfast?,"preparation time: 2 minutes cooking time: 6 minutes portions: 2 ingredients: 2 defrosted croissants, cut in half horizontally 50g of cooked ham 2 slices of Emmenthal cheese spray oil a spoonful of oregano procedure: preheat the oiled fryer to 180 degrees , cook the croissant for 6 minutes, adding the cheese and ham halfway through cooking. Place on plates, add oregano inside and serve. Enjoy your meal! nutrients: fat 4, fiber 7, carbohydrates 12, protein 8, calories 200"
How might I cook non-alcoholic sorbet?,"preparation time: 3 minutes + overnight to cool cooking time: 3 minutes portions: 2 ingredients: 70ml lemon juice 400g cranberries, fresh or thawed 300g sugar flaked almonds procedure: the night before, blend with the immersion blender the lemon juice, the blueberries and the sugar and freeze the sorbet in the freezer. the next day, put the sorbet in glasses, toast the almonds in the fryer at 180 degrees for 3 minutes, put them on top of the sorbet and serve. Enjoy your meal! nutrients: fat 2, fiber 7, carbohydrates 20, protein 8, calories 240"
How should I cook an apple pancake?,"preparation time: 2 minutes cooking time: 5 minutes portions: 2 ingredients: 200ml of batter (bought ready-made or homemade) 2 teaspoons of ground cinnamon 1 apple, peeled and cut into horizontal slices sugar to taste procedure: pour the batter in a bowl, add the cinnamon and mix. dip the apple slices in the batter, insert into the fryer lined with baking paper and cook at 180 degrees for 5 minutes. pour the apples onto the plate, add the sugar and serve. Enjoy your meal! nutrients: fat 4, fiber 4, carbohydrates 8, proteins 5, calories 162"
What techniques are used to cook pineapple with honey and cinnamon?,"preparation time: 3 minutes cooking time: 5 minutes portions: 4 ingredients: 300g of pineapple rings in syrup, or 1 pineapple peeled and cut into rings 1 knob of butter cinnamon to taste 4 teaspoons of wildflower honey 4 teaspoons of brown sugar mint to taste procedure: melt the butter in the fryer at 180 degrees, add the pineapple slices and cook for 2-3 minutes on each side. Place the pineapple on plates, add the sugar, honey and cinnamon and serve with mint on top. Enjoy your meal! nutrients: fat 8, fiber 8, carbohydrates 15, proteins 6, calories 202"
How do I cook oats and apple mix?,"preparation time: 5 minutes cooking time: 7 minutes portions: 6 ingredients: 375ml water 350ml coconut milk 2 apples, cored, peeled and chopped 150g crushed oats ½ teaspoon ground cinnamon ¼ teaspoon nutmeg , ground ¼ teaspoon ground ginger 1 tablespoon flaxseed, ground 2 teaspoons vanilla extract oil spray method: oil the fryer, add the apples, milk, water, cinnamon, oats, nutmeg, ginger, vanilla and flax seeds, mix, cover and cook at 180 degrees for 8 minutes. divide into bowls and serve for breakfast. Enjoy your meal! nutrients: fat 3, fiber 7, carbohydrates 8, protein 5, calories 172"
What are the instructions to prepare What is the best way to cook blueberries and coconut with quinoa?,"preparation time: 3 minutes cooking time: 7 minutes servings: 4 ingredients: 150g quinoa 750ml coconut water 1 teaspoon vanilla extract 3 teaspoons stevia 20g desiccated coconut 40g cranberries, dried 15g almonds, chopped method: in the air fryer, add the quinoa with coconut water, vanilla, stevia, coconut flakes, almonds and cranberries, cover and cook at 180 degrees for 7 minutes, stirring halfway through cooking. pour into bowls and serve while still hot. Enjoy your meal! nutrients: fat 5, fiber 5, carbohydrates 10, proteins 7, calories 146"
How do you approach cook cottage cheese?,"preparation time: 4 minutes cooking time: 5 minutes portions: 2 ingredients: 300g cottage cheese, drained 100g pumpkin seeds and hazelnuts, shelled 1 teaspoon honey 1 apple, peeled and cut into small pieces white sugar to taste method : place the pumpkin seeds and hazelnuts in the fryer and toast for 3 minutes. in the meantime, put the flakes in bowls, add the apple and sugar and mix. add the seeds and toasted hazelnuts, pour in a drizzle of honey and serve. Enjoy your meal! nutrients: fat 3, fiber 5, carbohydrates 14, protein 14, calories 180"
How should I cook pancakes fast?,"preparation time: 2 minutes cooking time: 6 minutes portions: 4 ingredients: 250ml milk 200g 00 flour 65g sugar 1 egg 1 teaspoon baking powder 2 tablespoon coconut powder procedure: mix the egg in a bowl with the sugar, add the milk, flour and yeast and mix with a whisk to avoid creating lumps. pour a ladle of the mixture into the fryer preheated to 180 degrees and cook for 3 minutes on each side. remove from the fryer, sprinkle with coconut and serve. Enjoy your meal! nutrients: fat 5, fiber 6, carbohydrates 12, protein 3, calories 189"
Can you show me how to prepare How do you cook mixed fruit puree?,"preparation time: 5 minutes cooking time: 3 minutes portions: 2 ingredients: pulp from 2 apricots pulp from 1 banana 1 teaspoon of honey a handful of chia seeds 50ml of low-fat milk procedure: blend the apricot pulp and the banana pulp , honey and milk with the immersion blender. In the meantime, toast the chia seeds for 3 minutes at 180 degrees in the fryer. put the fruit pulp in a bowl, add the toasted seeds and serve. Enjoy your meal! nutrients: fat 3, fiber 7, carbohydrates 15, protein 5, calories 132"
Can you walk me through cook coffee cream?,"preparation time: 4 minutes cooking time: 2 minutes portions: 4 ingredients: 250g of ricotta 40g of sugar 20ml of milk 3 cups of coffee 4 coffee beans procedure: mix the ricotta, sugar, milk and coffee with the electric whisk a bowl. pour the cream into the glasses, add a coffee bean toasted at 180 degrees for 2 minutes and serve. Enjoy your meal! nutrients: fat 4, fiber 4, carbohydrates 8, proteins 5, calories 162"
What are the best practices for prepare What is the best way to make icing for cakes?,"preparation time: 2 minutes cooking time: 4 minutes portions: 4 ingredients: 300g of white sugar 3 tablespoons of milk 2 tablespoons of maple syrup procedure: mix all the ingredients with the whisk. heat the icing for 4 minutes at 100 degrees in the lined fryer, then pour it hot onto the desired dessert. Enjoy your meal! nutrients: fat 4, fiber 4, carbohydrates 30, proteins 5, calories 302"
How would you recommend prepare What are some ways to make a sandwich with Nutella?,"preparation time: 2 minutes cooking time: 4 minutes portions: 2 ingredients: 2 soft round milk rolls, cut in half a spoonful of hazelnut cream a handful of chopped hazelnuts 1 spoonful of coconut powder procedure: toast each side of bread at 180 degrees for 2 minutes. place the sandwich on the plate, spread the hazelnut cream on one of the slices, add the hazelnuts and coconut, close with the other half and serve. Enjoy your meal! nutrients: fat 17, fiber 4, carbohydrates 7, protein 8, calories 300"
How do I make a sweet omelette?,"preparation time: 6 minutes cooking time: 5 minutes portions: 2 ingredients: 2 eggs 40g of flour 70ml of skimmed milk a spoonful of sugar ½ sachet of vanillin jam to taste a knob of butter salt to taste. procedure: heat the fryer to 160 degrees and melt the butter. in the meantime, blend the eggs with the sugar, vanilla, flour and milk. add the egg mix to the fryer and cook for 5 minutes. pour the omelette onto plates, sprinkle with jam, fold it in half, cut and serve. Enjoy your meal! nutrients: fat 8, fiber 4, carbohydrates 7, proteins 8, calories 260"
What process should I follow to cook omelets for breakfast?,"preparation time: 2 minutes cooking time: 6 minutes portions: 2 ingredients: 4 eggs 1 tablespoon of sugar ½ tablespoon of milk ½ apple and ½ banana, peeled and finely chopped to create a puree procedure: mix the eggs and sugar well and milk. pour the mix into the fryer and cook at 180 degrees for 6 minutes. move onto the plate, add the puree on top, fold in half and serve. Enjoy your meal! nutrients: fat 8, fiber 6, carbohydrates 12, protein 6, calories 200"
How can I go about prepare What is the best way to cook yogurt and granola?,"preparation time: 2 minutes cooking time: 3 minutes portions: 2 ingredients: 150g granola 1 apple, peeled and cut into small cubes 200g yogurt 1 teaspoon cinnamon procedure: toast the grains and apple in the fryer at 200 degrees to 3 minutes, adding the cinnamon and stirring halfway through cooking. in the meantime, put the yogurt in the bowls. pour the toasted mix over the yogurt, mix and serve while still warm. Enjoy your meal! nutrients: fat 2, fiber 10, carbohydrates 14, protein 7, calories 208"
How do you cook caramel pineapple?,"preparation time: 1 minute cooking time: 5 minutes portions: 4 ingredients: 300g of pineapple in syrup, or fresh and cut into rings 50g of brown sugar 1 knob of butter 50g of crushed amaretti biscuits procedure: melt the sugar and butter in the fryer at 180 degrees, add the pineapple rings and cook for 3 minutes, stirring occasionally. pour the slices onto the plates, sprinkle the crushed amaretti biscuits and serve. Enjoy your meal! nutrients: calories 160, fat 8, fiber 8, carbohydrates 8, proteins 4"
What is the best way to cook a crispy fruit salad?,"preparation time: 4 minutes cooking time: 3 minutes portions: 4 ingredients: 1 apple, peeled and cut into pieces 1 bunch of grapes, with the grapes cut in half juice of ½ lemon 2 kiwis, peeled and cut into large pieces 100g of dried fruit (almonds, hazelnuts, walnuts, pistachio) sugar to taste juice of 2 oranges procedure: toast the dried fruit at 180 degrees for 3 minutes in the fryer. Meanwhile, mix the apple, grapes, lemon juice, kiwi and orange juice in a large bowl. add the toasted fruit to the fruit salad, mix with the sugar and serve. Enjoy your meal! nutrients: fat 6, fiber 8, carbohydrates 15, proteins 4, calories 284"
What techniques are used to prepare What are some ways to make an omelette with ham and cheese?,"preparation time: 3 minutes cooking time: 4 minutes portions: 4 ingredients: 4 eggs 200 gr. of ham, diced grated cheese to taste 1 tablespoon of olive oil salt and black pepper to taste procedure: mix the eggs, ham and half the cheese in a bowl. insert the mix into the fryer at 180 degrees and cook for 4 minutes. remove from the air fryer and serve with the other half of the cheese on the side. Enjoy your meal! nutrients: fat 4, fiber 8, carbohydrates 15, proteins 12, calories 300"
How do you cook cinnamon bread?,"preparation time: 7 minutes cooking time: 4 minutes portions: 3 ingredients: 70g of butter melted in a bain-marie 6 slices of bread 50g of sugar 1 teaspoon of vanilla extract 1 teaspoon of ground cinnamon procedure: in a bowl, blend the melted butter with sugar, vanilla and cinnamon. spread it on the slices of bread, put them in the fryer and cook at 200 degrees for 3-4 minutes. divide between plates and serve for breakfast. Enjoy your meal! nutrients: fat 4, fiber 12, carbohydrates 15, protein 8, calories 281"
How do I make chestnut pancakes?,"preparation time: 2 minutes cooking time: 5 minutes portions: 18 pancakes ingredients: 200g of chestnut flour 1 teaspoon of instant yeast 60g of raisins 1 pinch of salt oil spray procedure: mix the flour and yeast with an electric whisk with a glass of hot water, until you create a thick cream (to thicken, use more flour, to dilute it with water). add the raisins and mix again. Pour the mixture with a spoon into the fryer lined with baking paper and create pancakes, and cook them for 5 minutes at 200 degrees in the oiled fryer. Divide between plates and serve hot. Enjoy your meal! nutrients: fat 4, fiber 7, carbohydrates 19, proteins 7, calories 291"
What are the best ways to cook salad with bacon?,"preparation time: 5 minutes cooking time: 4 minutes portions: 4 ingredients: 150g of new lettuce 100g of sweet bacon 1-2 oranges, peeled and cut into cubes 1 teaspoon of sugar salt and pepper to taste 4 long croutons procedure : cook the bacon in the fryer at 180 degrees for 4 minutes. in the meantime, mix the salad, oranges, sugar, salt and pepper (a drizzle of oil to taste) in a large bowl. add the bacon, mix well and serve. Enjoy your meal! nutrients: fat 7, fiber 8, carbohydrates 9, protein 9, calories 200"
What process should I follow to cook Piedmontese peaches?,"preparation time: 5 minutes cooking time: 5 minutes portions: 8 peaches ingredients: 8 peach halves in syrup and 4 tablespoons of their juice in syrup 50g of chopped amaretti biscuits 50g of chopped almonds 40g of brown sugar 2 tablespoons of bitter cocoa procedure: in a bowl mix the amaretti biscuits with the almonds, cocoa, peach juice in a bowl. add a spoonful of the mixture to each half peach. Place the peaches in the fryer preheated to 180 degrees and cook for 5 minutes. divide between plates and serve for breakfast. Enjoy your meal! nutrients: fat 8, fiber 8, carbohydrates 10, protein 6, calories 200"
